Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
drone_body,0.00037727104002184,2.89864944904331E-05,-0.00750285109539086,0,0,0,0.357420415627526,0.000438219852783832,0.000109200110248878,-3.73094379691416E-10,0.00167682905269243,2.35329923558303E-12,0.0016915663631846,0,0,0,0,0,0,package://drone_description/meshes/drone_body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/drone_body.STL,,Flex Drone Body 5 deg-1,global_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
front_arm,-3.32815637438255E-07,0.00528847069891163,-4.23077371747294E-12,0,0,0,0.0488863352917366,0.000132396833896061,-4.99567917336989E-13,-7.39033950292171E-13,0.000132377174520321,-2.47372363052085E-17,2.60423234522648E-06,0,0,0,0,0,0,package://drone_description/meshes/front_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/front_arm.STL,,Flex Drone Arm-1,front_arm,front_arm_axle,front_arm_joint,continuous,0.13275334064868,-0.00722327848964719,-0.00540264439683487,1.5707963267949,0,0,drone_body,0,0,-1,,,,,,,,,,,,0
front_right_prop,2.77555756156289E-17,-2.77555756156289E-17,0.0015875,0,0,0,0.00504005698984341,1.2716275291741E-06,3.37489689921635E-22,2.04585029939092E-22,1.27162752917409E-06,-1.00319883079063E-23,2.53478723759932E-06,0,0,0,0,0,0,package://drone_description/meshes/front_right_prop.STL,1,1,1,1,0,0,0,0,0,0,package://drone_description/meshes/front_right_prop.STL,,Flex Drone Prop-1,front_right_motor,front_right_axle,front_right_prop_joint,continuous,0,0.0190499999622372,0.1325,-1.5707963267949,0,6.29649045572343E-05,front_arm,0,0,1,,,,,,,,,,,,0
front_left_prop,0,0,0.0015875,0,0,0,0.00504005698984341,1.2716275291741E-06,-4.36751363427999E-22,2.2224016613827E-22,1.2716275291741E-06,2.10983562782874E-23,2.53478723759932E-06,0,0,0,0,0,0,package://drone_description/meshes/front_left_prop.STL,1,1,1,1,0,0,0,0,0,0,package://drone_description/meshes/front_left_prop.STL,,Flex Drone Prop-2,front_left_motor,front_left_axle,front_left_prop_joint,continuous,0,0.0190499999622375,-0.1325,-1.5707963267949,0,6.29649045572343E-05,front_arm,0,0,1,,,,,,,,,,,,0
front_right_wing,-2.56871427684047E-07,-6.69619957455181E-07,8.55690921422909E-05,0,0,0,0.0106409229155552,3.22240827607208E-05,8.34233188884897E-12,4.40330785279026E-13,1.00346951370682E-06,-2.44420885016909E-21,3.14347766518031E-05,0,0,0,0,0,0,package://drone_description/meshes/front_right_wing.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/front_right_wing.STL,,Flex Drone Wing-1,front_right_wing,front_arm_axle,front_right_wing_joint,fixed,0,-0.0170179999662656,0.1325,-1.5707963267949,0,6.29649045571202E-05,front_arm,0,0,0,,,,,,,,,,,,0
front_left_wing,2.56846023199975E-07,6.69619957371914E-07,8.55690884140337E-05,0,0,0,0.0106409229167305,3.22240827618886E-05,8.34233188911367E-12,-4.43666864148229E-13,1.00346951311838E-06,1.74649412038412E-22,3.14347766541992E-05,0,0,0,0,0,0,package://drone_description/meshes/front_left_wing.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/front_left_wing.STL,,Flex Drone Wing-2,front_left_wing,front_arm_axle,front_left_wing_joint,fixed,0,-0.0170179999662652,-0.1325,-1.5707963267949,0,6.29649045573601E-05,front_arm,0,0,0,,,,,,,,,,,,0
back_arm,1.01226756657469E-05,0.00528846104534083,1.66339450026476E-10,0,0,0,0.0488863353584465,0.000132396833691044,-3.93802397789225E-11,-7.55545830783203E-13,0.000132377174483336,2.44966822466015E-16,2.60423235602468E-06,0,0,0,0,0,0,package://drone_description/meshes/back_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/back_arm.STL,,Flex Drone Arm-2,back_arm,back_arm_axle,back_arm_joint,continuous,-0.13125,0.015874,0.014597,1.5708,0,-0.17453,drone_body,0,0,1,,,,,,,,,,,,0
back_right_prop,0,0,0.0015875,0,0,0,0.00504005698984341,1.2716275291741E-06,2.31610571514848E-22,-6.82424005356248E-24,1.2716275291741E-06,1.20367703823537E-22,2.53478723759932E-06,0,0,0,0,0,0,package://drone_description/meshes/back_right_prop.STL,1,1,1,1,0,0,0,0,0,0,package://drone_description/meshes/back_right_prop.STL,,Flex Drone Prop-3,back_right_motor,back_right_axle,back_right_prop_joint,continuous,3.64629030858155E-05,0.0190499651038184,0.1325,-1.5707963267949,0,-0.00191406432285098,back_arm,0,0,1,,,,,,,,,,,,0
back_left_prop,0,0,0.0015875,0,0,0,0.00504005698984341,1.2716275291741E-06,-2.64697796016969E-22,1.28212994945719E-23,1.2716275291741E-06,1.32348898008484E-22,2.53478723759932E-06,0,0,0,0,0,0,package://drone_description/meshes/back_left_prop.STL,1,1,1,1,0,0,0,0,0,0,package://drone_description/meshes/back_left_prop.STL,,Flex Drone Prop-4,back_left_motor,back_left_axle,back_left_prop_joint,continuous,3.6463E-05,0.01905,-0.1325,-1.5708,0,-0.0019141,back_arm,0,0,1,,,,,,,,,,,,0
back_right_wing,1.21655134022181E-08,0,8.47138140920327E-05,0,0,0,0.0106410240095179,3.22240827652041E-05,8.34233189020555E-12,4.93419365802072E-13,1.00346951237549E-06,-9.95408469631E-22,3.14347766576976E-05,0,0,0,0,0,0,package://drone_description/meshes/back_right_wing.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/back_right_wing.STL,,Flex Drone Wing-4,back_right_wing,back_arm_axle,back_right_wing_joint,fixed,-3.25735267566463E-05,-0.0170179688260777,0.1325,-1.5707963267949,0,-0.00191406432285109,back_arm,0,0,0,,,,,,,,,,,,0
